preview_frame_id,host_epoch_ns,host_monotonic_ns,video_source_epoch_ns,video_pipeline_latency_ms,telemetry_match_delta_ms,sync_offset_ms,decoded_frame_seq,dropped_frames,telemetry_session,telemetry_seq,telemetry_device_ms,tracking_frame_id
99,1785481815944992300,195086697277700,1785481815836833024,108.159276,-7.824224,0.0,99,0,000070ca,6521,210016,8288
100,1785481815991538800,195086743824100,1785481815888966912,102.571888,22.598488,0.0,100,0,000070ca,6524,210083,8291
101,1785481816039532700,195086791818000,1785481815937978112,101.554588,7.319888,0.0,101,0,000070ca,6525,210127,8292
102,1785481816090228800,195086842514000,1785481815987677952,102.550848,2.572648,0.0,102,0,000070ca,6527,210177,8294
103,1785481816139079900,195086891365300,1785481816037266944,101.812956,-6.970944,0.0,103,0,000070ca,6528,210217,8296
104,1785481816189849000,195086942134000,1785481816087377920,102.47108,7.90588,0.0,104,0,000070ca,6530,210283,8299
105,1785481816239902300,195086992187200,1785481816136989184,102.913116,-6.815284,0.0,105,0,000070ca,6531,210316,8300
106,1785481816290030500,195087042315800,1785481816187643904,102.386596,7.507096,0.0,106,0,000070ca,6533,210383,8303
107,1785481816340108500,195087092393700,1785481816237499904,102.608596,-15.779604,0.0,107,0,000070ca,6534,210408,8304
108,1785481816389299400,195087141584500,1785481816287478016,101.821384,-5.266216,0.0,108,0,000070ca,6536,210476,8307
109,1785481816440073400,195087192358900,1785481816337367040,102.70636,-9.07184,0.0,109,0,000070ca,6537,210519,8309
110,1785481816489650300,195087241935600,1785481816386967040,102.68326,11.67936,0.0,110,0,000070ca,6539,210583,8312
111,1785481816539551300,195087291836600,1785481816437766912,101.784388,18.950088,0.0,111,0,000070ca,6541,210648,8315
112,1785481816590038900,195087342324000,1785481816487444992,102.593908,17.811208,0.0,112,0,000070ca,6542,210697,8317
113,1785481816639861700,195087392146900,1785481816537199872,102.661828,-9.831772,0.0,113,0,000070ca,6543,210718,8318
114,1785481816691077100,195087443362400,1785481816587177984,103.899116,16.234916,0.0,114,0,000070ca,6545,210794,8321
115,1785481816740105700,195087492390900,1785481816637032960,103.07274,-13.60226,0.0,115,0,000070ca,6546,210815,8322
116,1785481816790461100,195087542746200,1785481816687756032,102.705068,8.208368,0.0,116,0,000070ca,6548,210883,8325
117,1785481816840407300,195087592692700,1785481816737245184,103.162116,-21.447284,0.0,117,0,000070ca,6549,210909,8326
118,1785481816891674800,195087643960000,1785481816787955968,103.718832,7.782332,0.0,118,0,000070ca,6551,210983,8329
119,1785481816940337300,195087692622500,1785481816837789184,102.548116,-22.742384,0.0,119,0,000070ca,6552,211009,8330
120,1785481816989300900,195087741586200,1785481816887856128,101.444772,2.702572,0.0,120,0,000070ca,6555,211077,8333
121,1785481817040013100,195087792298500,1785481816937856000,102.1571,22.074,0.0,121,0,000070ca,6557,211147,8336
122,1785481817089517100,195087841802400,1785481816987155968,102.361132,-6.672668,0.0,122,0,000070ca,6558,211174,8337
123,1785481817139177600,195087891462700,1785481817036988928,102.188672,11.003672,0.0,123,0,000070ca,6560,211233,8340
124,1785481817189267100,195087941552000,1785481817087367168,101.899932,2.766532,0.0,124,0,000070ca,6561,211277,8342
125,1785481817239343200,195087991628600,1785481817136989184,102.354016,19.559416,0.0,125,0,000070ca,6563,211348,8345
126,1785481817289207800,195088041493400,1785481817186877952,102.329848,-8.994352,0.0,126,0,000070ca,6564,211367,8346
127,1785481817339565500,195088091850600,1785481817236943872,102.621628,8.455228,0.0,127,0,000070ca,6566,211434,8349
128,1785481817389508600,195088141793900,1785481817287100160,102.40844,-4.74326,0.0,128,0,000070ca,6567,211476,8351
129,1785481817439815300,195088192100700,1785481817337410816,102.404484,17.928684,0.0,129,0,000070ca,6569,211547,8354
130,1785481817489812600,195088242097800,1785481817387289088,102.523512,-10.510288,0.0,130,0,000070ca,6570,211566,8355
131,1785481817540358500,195088292644000,1785481817437332992,103.025508,7.899808,0.0,131,0,000070ca,6572,211633,8358
132,1785481817589531100,195088341816400,1785481817487556096,101.975004,5.726504,0.0,132,0,000070ca,6573,211676,8360
133,1785481817639937600,195088392222800,1785481817537456128,102.481472,3.315872,0.0,133,0,000070ca,6575,211728,8362
134,1785481817690334400,195088442619800,1785481817587300096,103.034304,-6.104696,0.0,134,0,000070ca,6576,211767,8364
135,1785481817739871300,195088492156600,1785481817637489152,102.382148,7.322548,0.0,135,0,000070ca,6578,211833,8367
136,1785481817789619800,195088541905200,1785481817687244032,102.375768,-10.432432,0.0,136,0,000070ca,6579,211861,8368
137,1785481817839309800,195088591595100,1785481817737321984,101.987816,8.494716,0.0,137,0,000070ca,6581,211933,8371
138,1785481817889505500,195088641790500,1785481817786989056,102.516444,-11.018956,0.0,138,0,000070ca,6582,211959,8372
139,1785481817939582300,195088691868000,1785481817837421824,102.160476,6.289576,0.0,139,0,000070ca,6585,212031,8375
140,1785481817988926000,195088741211100,1785481817887633152,101.292848,2.622748,0.0,140,0,000070ca,6586,212078,8377
141,1785481818039421000,195088791706500,1785481817937400064,102.020936,-5.460864,0.0,141,0,000070ca,6588,212126,8379
142,1785481818089968400,195088842253500,1785481817986877952,103.090448,-9.396252,0.0,142,0,000070ca,6589,212167,8381
143,1785481818139525900,195088891811200,1785481818037078016,102.447884,9.238984,0.0,143,0,000070ca,6591,212231,8384
144,1785481818189267400,195088941552600,1785481818087421952,101.845448,18.540948,0.0,144,0,000070ca,6593,212298,8387
145,1785481818239150900,195088991436100,1785481818137188864,101.962036,16.277636,0.0,145,0,000070ca,6594,212344,8389
146,1785481818289284700,195089041569800,1785481818186978048,102.306652,-11.092748,0.0,146,0,000070ca,6595,212365,8390
147,1785481818338930300,195089091215600,1785481818237467136,101.463164,7.771264,0.0,147,0,000070ca,6597,212433,8393
